char1,char2,char3,freq
r,o,h,38272623
d,n,a,38243232
i,b,a,38221126
i,b,b,38191925
f,f,u,38165531
i,s,g,38113929
v,e,c,38096794
n,j,e,38083475
x,t,i,38081121
i,r,u,38006861
h,a,z,37995345
l,i,u,37982424
y,t,o,37971483
y,g,e,37971100
l,a,z,37906543
k,o,n,37894411
b,b,l,37858509
l,p,i,37782948
p,t,y,37762266
d,v,o,37733112
x,a,s,37669698
n,y,w,37593047
v,a,b,37581179
y,r,o,37544633
i,e,g,37523606
l,u,l,37519077
s,o,t,37454636
g,l,u,37438168
s,d,o,37427078
o,n,k,37340249
e,g,s,37334405
w,e,t,37146726
e,b,u,36970514
y,n,d,36866388
b,a,k,36857740
f,t,w,36831321
a,k,a,36808192
t,o,k,36678800
o,n,w,36615523
n,m,a,36492247
s,d,i,36409110
y,r,a,36344226
x,y,g,36307552
d,i,b,36237497
u,c,o,36131083
n,y,m,36015443
e,o,f,35988144
v,o,y,35948613
d,i,z,35940267
t,e,f,35902216
n,u,l,35899089
o,t,r,35886749
r,h,y,35848049
i,l,r,35761242
g,a,u,35703912
a,b,d,35687975
a,w,f,35627709
u,n,b,35612787
y,l,v,35556967
e,z,e,35548549
l,d,l,35396336
e,s,m,35336801
h,t,h,35292632
k,h,a,35245798
t,u,i,35237567
b,u,f,35181251
o,e,f,35177988
b,t,l,35161544
o,t,y,35118546
d,h,o,35076237
p,a,d,35051181
r,p,s,34965242
i,d,t,34876593
g,n,m,34859991
m,b,s,34807049
d,h,i,34751365
g,r,y,34692888
z,e,a,34678498
i,s,b,34672452
k,e,w,34669967
b,a,p,34618890
a,u,m,34529793
k,i,r,34525971
k,s,o,34490692
j,u,m,34432854
p,s,i,34370213
m,n,i,34295204
h,e,p,34242113
h,o,g,34223717
x,i,l,34212508
k,s,h,34092428
t,u,f,34065696
m,a,z,33895141
y,n,o,33799439
h,y,t,33724500
o,l,m,33709671
l,b,o,33450595
e,i,d,33447795
k,i,e,33440970
u,s,y,33432220
u,g,l,33384719
y,z,e,33379021
t,n,a,33374460
v,a,p,33183909
w,r,a,32966259
r,p,a,32955088
l,g,i,32784559
o,s,m,32765120
m,a,h,32685860
g,u,y,32600216
h,a,f,32600010
p,s,o,32497296
o,y,i,32489798
o,c,y,32443921
p,e,p,32427397
w,f,u,32341157
d,d,h,32319005
e,o,m,32313632
i,n,b,32306748
u,o,r,32067828
n,u,n,32011521
g,i,d,31947473
n,h,o,31887897
d,e,u,31886843
n,z,y,31825971
p,u,m,31824408
o,s,h,31793466
c,a,i,31762725
a,e,r,31755818
s,y,r,31723138
o,h,a,31664534
a,i,c,31629161
c,u,e,31614917
t,s,o,31588504
m,a,u,31585396
h,e,b,31558758
a,w,l,31530006
u,n,h,31509749
h,y,m,31494933
i,a,c,31463894
n,w,i,31461891
e,s,b,31434847
g,r,u,31426337
r,g,h,31364488
u,b,o,31277503
z,z,l,31258030
r,i,x,31255788
x,c,u,31243053
b,a,i,31228330
n,n,s,31223864
t,e,t,31218928
e,l,b,31175066
n,b,u,31121129
g,g,s,31084660
n,p,r,31060689
f,i,a,31041303
d,o,z,31018888
x,i,b,31013948
a,r,x,30991039
u,l,k,30989438
d,d,y,30955021
n,d,f,30954841
e,k,e,30951353
l,i,l,30947583
a,u,x,30946566
t,s,t,30864919
u,b,u,30781503
n,r,o,30768076
m,a,b,30737973
r,b,s,30715603
h,m,i,30680049
d,g,i,30656323
y,m,a,30628980
u,l,m,30619738
n,e,q,30595337
e,t,n,30515252
i,g,s,30513886
i,p,o,30407546
l,d,h,30278099
m,n,s,30274722
d,s,c,30266711
i,f,l,30265441
r,r,h,30252184
e,s,k,30240681
n,e,p,30232901
s,t,w,30202489
o,x,e,30188629
f,e,v,30144522
l,p,s,30127163
a,h,o,30121530
d,y,s,30062228
d,a,g,30057834
h,a,c,30043576
a,n,z,30035140
z,y,m,30007884
a,g,s,29957646
o,l,n,29954725
n,s,y,29943299
g,h,i,29864477
k,a,l,29779558
i,o,m,29751899
e,j,u,29741424
m,u,d,29625800
k,l,a,29576416
r,c,y,29572071
t,u,g,29565240
s,s,y,29534171
a,w,e,29415557
b,b,o,29395210
s,r,o,29333171
o,v,o,29290615
i,b,o,29236007
e,s,q,29224902
r,f,i,29217115
r,g,r,29209753
x,x,i,29147653
r,y,l,29048623
l,c,i,29039027
e,x,o,29008177
r,k,n,28971707
m,u,e,28963598
u,z,z,28932187
r,c,r,28893205
m,c,c,28841793
f,f,r,28692520
h,s,t,28624150
b,r,y,28552423
o,g,o,28532777
a,k,n,28519249
d,e,i,28509183
b,n,o,28438291
o,q,u,28412446
r,b,u,28358061
t,u,p,28240526
g,e,e,28234229
c,y,l,28225640
r,y,w,28205161
h,o,a,28202255
e,n,b,28193939
s,l,u,28140337
l,r,y,28073202
a,w,k,28068672
d,h,a,28059366
u,c,r,28036823
s,f,y,27970708
l,a,h,27857110
h,o,v,27853081
a,b,n,27796599
a,n,l,27780603
n,d,w,27740577
l,y,c,27689917
y,m,m,27667168
j,i,m,27612214
j,e,f,27579476
r,q,u,27513316
c,i,u,27378819
s,k,a,27359435
n,g,f,27310740
s,o,a,27273485
s,m,u,27263791
y,d,e,27254475
l,b,a,27098220
r,a,k,27032536
y,l,l,26954122
j,e,n,26947966
s,o,b,26916669
h,e,v,26756893
e,s,y,26748312
o,s,l,26723634
w,n,i,26672086
n,z,e,26597862
a,m,n,26551612
u,a,s,26536345
a,t,f,26446886
u,n,m,26425047
e,m,u,26423209
o,s,y,26395274
e,i,c,26375881
h,l,i,26333216
y,n,c,26328222
i,o,p,26311714
u,p,w,26228551
m,n,a,26225118
l,l,m,26168050
p,w,a,26153136
k,a,y,26144519
i,x,i,26122281
d,m,o,26059717
d,u,b,26006566
z,i,l,25994105
d,d,s,25981492
o,n,r,25959432
b,b,y,25855235
a,h,m,25847962
n,z,a,25814348
d,a,w,25805906
t,g,a,25800268
e,i,m,25800089
m,e,h,25770780
u,e,t,25747607
y,c,e,25715517
r,a,j,25649840
a,x,o,25583803
a,d,c,25550172
l,u,g,25547127
i,r,p,25498210
v,o,w,25482532
t,e,b,25445318
b,t,s,25424737
e,i,p,25362933
g,a,d,25318717
l,g,o,25313727
d,c,a,25281148
b,o,b,25277530
o,r,h,25185063
s,e,b,25183326
g,a,y,25182609
i,a,h,25141380
u,l,c,25135758
t,u,o,25123789
z,u,r,25104511
z,a,n,25064792
e,w,l,24999703
e,o,t,24949260
p,f,u,24926086
s,g,u,24889240
o,g,g,24843766
j,o,e,24835377
e,n,m,24808651
o,e,v,24715124
u,s,k,24704324
n,w,h,24653220
h,o,b,24624287
n,j,a,24621754
l,c,h,24565190
u,p,h,24526081
n,d,n,24509551
e,s,d,24489479
r,b,y,24479524
n,k,a,24464703
e,l,g,24458641
u,b,c,24425296
e,d,m,24379016
r,y,b,24349586
x,t,y,24333079
z,l,e,24326896
l,f,u,24274698
a,n,w,24252400
d,a,c,24222199
p,a,m,24183672
m,m,y,24175569
j,a,r,24174245
l,c,a,24156187
y,a,g,24137691
d,e,w,24131892
l,p,f,24101719
g,a,b,24080033
y,w,a,24012950
m,l,e,23998916
c,a,y,23924005
l,k,a,23914636
e,b,l,23898853
n,d,b,23783290
c,d,o,23709370
s,s,n,23640415
d,u,p,23558448
o,r,f,23553647
h,u,a,23453136
h,u,d,23373252
v,i,b,23368159
n,d,h,23359629
t,a,v,23335950
o,u,v,23254253
u,b,d,23175890
t,e,u,23152976
u,t,w,23032391
p,e,u,23009435
d,b,a,22983239
n,w,e,22979850
g,h,s,22935604
k,r,a,22897470
d,f,u,22895600
t,s,c,22868646
c,u,n,22799416
g,h,w,22775004
n,o,e,22774486
l,f,r,22729930
w,i,v,22708801
a,n,h,22697476
r,t,f,22654581
y,p,h,22635328
m,s,o,22618893
a,m,y,22595570
a,e,o,22540467
n,a,e,22522452
c,h,s,22491150
a,w,r,22452095
b,u,m,22431113
d,f,a,22377013
l,p,t,22365892
x,t,h,22303954
k,i,m,22235746
b,b,a,22227478
n,d,p,22205354
t,b,a,22185599
n,a,z,22164635
n,i,d,22162203
l,u,o,22156707
r,y,a,22144320
u,d,o,22134741
s,r,e,22112688
c,k,o,22078274
s,h,n,22075154
e,e,f,21841175
h,u,l,21822494
e,u,p,21732951
b,a,u,21728218
e,s,l,21721368
x,i,a,21677887
n,y,i,21598782
o,k,a,21579723
e,o,c,21562414
n,p,o,21507422
u,y,e,21505397
p,a,k,21482517
f,e,i,21467943
t,a,d,21456779
p,s,t,21446469
x,i,v,21410632
m,i,u,21346990
d,l,o,21316924
t,t,h,21275490
r,p,i,21263703
l,d,w,21256075
r,t,g,21249047
e,c,y,21194693
w,a,d,21191599
p,a,v,21151025
r,y,d,21128109
t,z,e,21114709
l,s,h,21078040
c,k,h,21076441
c,i,z,21052153
c,i,b,21048209
w,i,m,21038542
r,w,h,21027006
i,l,b,21005196
f,o,x,21002806
o,b,u,20986364
p,t,l,20930702
e,k,l,20906520
r,s,y,20841224
w,i,g,20573376
r,w,e,20557271
o,e,n,20505388
b,d,o,20504752
d,l,a,20490931
n,a,h,20470634
r,d,y,20451828
u,p,y,20385070
s,b,y,20358895
b,s,u,20319287
u,u,m,20314290
a,s,l,20281888
k,f,a,20205062
y,c,o,20192894
x,u,r,20181499
o,d,l,20126824
o,n,z,20078146
j,a,i,20051826
e,b,s,20022519
c,u,o,20018052
e,j,o,20005040
k,h,o,19996337
o,g,l,19952737
r,n,t,19932953
o,e,r,19887531
s,u,t,19846057
a,k,f,19835435
r,o,z,19832895
l,u,k,19832150
a,n,v,19822510
u,e,b,19801188
n,p,l,19795742
t,i,u,19781835
a,y,n,19743952
c,i,g,19735850
h,y,r,19727073
a,n,f,19719450
h,t,n,19704602
e,b,b,19683681
l,b,u,19682617
x,a,g,19586289
b,y,t,19560232
o,t,w,19522265
d,q,u,19515722
h,l,a,19471570
d,j,a,19421925
r,f,l,19401938
p,n,e,19360742
o,m,n,19340258
g,o,w,19265062
h,i,z,19265009
l,g,r,19246324
g,g,a,19240501
w,i,e,19236072
s,h,l,19224318
a,j,a,19140703
k,m,a,19109171
t,o,y,19085632
k,r,i,19076212
i,r,k,19071002
f,a,d,18999534
x,x,x,18950344
s,g,r,18929268
o,e,d,18880094
u,n,j,18872903
e,y,n,18865188
o,f,a,18856847
e,o,d,18845225
a,d,q,18814499
a,z,z,18806559
j,u,a,18806035
r,w,o,18798621
b,d,u,18794666
a,n,q,18765855
i,f,a,18752584
p,u,e,18748946
r,c,t,18746572
r,b,l,18709368
o,y,d,18670475
d,b,o,18659455
o,a,m,18615140
l,o,q,18605036
o,k,l,18576189
a,d,f,18570568
c,i,c,18551245
b,o,h,18493738
e,d,b,18462475
p,d,a,18419884
n,l,o,18407111
w,t,o,18405870
i,p,r,18379382
y,r,e,18345721
o,l,c,18325277
e,e,a,18299946
a,r,w,18280639
g,u,t,18257464
b,a,m,18237802
r,d,w,18228493
a,g,l,18214964
r,t,z,18196413
u,a,k,18191334
s,o,e,18157350
u,x,u,18130013
p,s,a,18095174
k,r,u,18085585
j,u,g,17982076
p,o,m,17964702
s,a,x,17923576
a,d,n,17923001
r,d,n,17882434
u,p,d,17874259
x,x,v,17846164
i,z,z,17842950
i,l,g,17812225
p,h,u,17807970
f,e,u,17792850
h,e,f,17765505
g,o,g,17755147
r,y,n,17738003
c,c,r,17734010
c,h,b,17731567
c,l,y,17727043
a,u,f,17725497
h,m,s,17724870
n,s,k,17710559
l,y,p,17695249
y,d,a,17669251
c,h,w,17646737
w,e,p,17629568
n,i,x,17600462
j,e,t,17519224
i,h,o,17512376
n,b,o,17495861
a,z,y,17458141
h,e,u,17453846
g,f,u,17420570
v,a,u,17372544
z,i,e,17362794
j,o,k,17285292
j,o,a,17276070
c,a,e,17244418
m,e,i,17207856
u,t,m,17199538
m,c,g,17171983
l,i,h,17153707
m,e,b,17150910
h,a,o,17146685
y,w,o,17107063
l,o,f,17021910
w,a,m,17009562
b,d,i,16956149
l,f,o,16940250
e,l,h,16895885
o,d,n,16894257
d,y,e,16887636
j,u,i,16886689
e,u,n,16869289
u,b,r,16849179
f,t,l,16819232
o,t,c,16819202
e,b,i,16781381
m,y,o,16776963
s,r,u,16775743
f,a,x,16771090
h,u,b,16755647
d,o,v,16753457
u,g,o,16720615
n,o,x,16709498
e,o,s,16681062
u,d,l,16593371
p,s,u,16587868
u,y,i,16530140
u,t,b,16501753
t,n,i,16494138
i,n,w,16455017
n,a,w,16439331
r,k,m,16392960
e,u,v,16360664
p,k,i,16349482
r,a,q,16299916
a,m,l,16295177
x,p,i,16281640
y,m,n,16265436
k,i,c,16239166
m,r,s,16226508
o,n,p,16220898
n,s,v,16199630
g,u,o,16192578
a,c,m,16183178
e,h,r,16168440
y,b,r,16153458
u,r,h,16142159
u,r,u,16140352
t,s,m,16140256
h,m,o,16091430
e,o,i,16078171
g,i,u,16072371
d,a,h,16067364
p,b,e,16066532
p,y,i,16030421
c,a,f,15979237
f,u,c,15963739
n,y,a,15949342
r,x,i,15947580
s,v,e,15932378
b,h,a,15932193
a,r,q,15927271
o,l,p,15910581
r,s,c,15900402
o,e,l,15844449
a,z,o,15804220
s,t,p,15765857
s,h,y,15756612
r,y,p,15720498
t,p,o,15717739
e,e,v,15717427
j,u,v,15687814
e,w,t,15680600
z,o,o,15678875
t,b,o,15651519
g,a,c,15639430
i,x,o,15614190
m,o,h,15612847
d,d,a,15600155
a,p,u,15599670
l,c,e,15575349
c,z,e,15543214
c,a,k,15540095
y,a,b,15481225
w,n,w,15476686
o,w,h,15475433
z,e,c,15459916
h,t,o,15439502
c,y,s,15405752
v,r,e,15395864
v,i,z,15391837
s,b,o,15385123
k,y,o,15374324
o,f,s,15343909
s,o,w,15341229
k,u,l,15340221
a,r,u,15302189
e,y,a,15291893
r,p,u,15265701
i,b,s,15264965
o,e,c,15258571
m,e,g,15242353
n,w,o,15223969
n,g,n,15201309
w,p,o,15181078
c,u,a,15150690
a,e,m,15141062
p,h,l,15133863
e,t,z,15113519
n,e,b,15111713
p,u,z,15105237
x,c,a,15035685
e,w,p,15028998
t,h,c,15024450
b,e,v,15022694
w,l,i,15002680
l,a,e,15001233
h,o,f,14939961
m,i,k,14933044
n,e,z,14924941
i,d,y,14920779
p,u,d,14918889
i,l,f,14906757
p,o,g,14905880
o,t,u,14903337
e,u,c,14828712
a,a,r,14822713
a,d,w,14806645
t,l,o,14801529
m,i,m,14791247
a,i,v,14790059
n,k,r,14786949
a,f,o,14774362
n,a,y,14769641
o,d,w,14762236
g,n,t,14713539
g,o,m,14713131
h,e,g,14699837
d,o,d,14668950
i,a,d,14661790
j,a,w,14640631
d,f,o,14611388
h,d,a,14588566
c,t,m,14579380
o,k,y,14565761
b,u,b,14529459
o,o,v,14480602
m,i,o,14447630
s,b,e,14376610
i,t,f,14326300
m,p,b,14321447
r,y,m,14315284
p,e,g,14310349
g,y,m,14280896
d,p,o,14260333
d,n,i,14256615
n,y,b,14228086
n,p,a,14216807
n,o,y,14181624
a,f,a,14177094
s,k,u,14143668
h,y,b,14129806
b,y,r,14104779
e,z,i,14097030
h,b,i,14075032
l,h,i,14065490
p,i,k,14049007
i,o,x,14044683
i,o,v,14030976
s,a,a,14014601
c,m,i,14009761
d,j,o,13983659
j,a,v,13977370
u,y,s,13920626
u,a,c,13876947
b,u,g,13876771
n,k,f,13835783
p,h,t,13833747
d,w,o,13829877
c,k,b,13811726
t,a,h,13794638
n,r,a,13786931
y,s,s,13775480
e,e,b,13758235
i,r,w,13731854
o,z,a,13694638
a,g,h,13692847
b,t,f,13691446
a,a,c,13675709
a,k,o,13669002
t,o,v,13667567
j,a,s,13611264
b,t,r,13602357
w,i,p,13594199
r,k,l,13579512
w,m,a,13575773
k,a,d,13559415
l,y,r,13541721
z,i,o,13520191
e,c,d,13446494
r,h,i,13429827
o,y,c,13403791
f,o,e,13356418
u,t,d,13351015
m,r,a,13327982
u,l,b,13297425
d,e,h,13294160
a,o,s,13290475
u,s,o,13256202
p,o,d,13193143
i,s,y,13176556
e,a,h,13165962
b,c,o,13151996
a,h,i,13115324
e,n,w,13111324
o,z,o,13110799
o,d,r,13095037
l,p,a,13071318
s,t,n,13065422
k,i,p,13046961
a,d,t,12978354
a,t,n,12952060
w,a,x,12943433
f,u,m,12926175
w,a,b,12926007
e,w,r,12900369
n,i,b,12899533
f,m,a,12879762
s,n,i,12866467
i,w,a,12857196
i,k,a,12844736
y,e,n,12835995
t,d,o,12817788
e,n,q,12804928
o,l,b,12762603
l,s,a,12722641
k,u,p,12715377
c,e,o,12678134
c,u,u,12661400
i,d,w,12658079
t,e,h,12653919
e,y,i,12651961
e,u,g,12646562
a,y,t,12643810
m,y,c,12595274
y,s,o,12590476
n,z,i,12562002
y,o,t,12538953
o,w,m,12532383
b,e,w,12527837
h,t,m,12495743
l,p,l,12492418
m,a,o,12483915
o,p,k,12481169
o,m,r,12479307
d,u,o,12478832
j,i,n,12463094
a,x,p,12422697
u,h,a,12383226
x,a,l,12374775
c,e,c,12360271
m,o,p,12324697
i,o,w,12300879
k,a,s,12250385
b,y,l,12247463
o,m,u,12204177
v,a,k,12201441
u,v,i,12142660
j,a,h,12139869
b,t,o,12111597
n,o,a,12094302
p,s,h,12072651
g,e,b,12069863
i,j,i,12069753
t,b,r,12046831
k,t,o,12033529
v,i,k,12019859
y,g,o,12019608
m,y,e,12007059
k,i,a,11966861
g,h,n,11960500
k,f,u,11958892
i,l,h,11940046
i,z,u,11939164
p,a,w,11926997
l,h,o,11906164
h,u,c,11895992
s,e,o,11865994
a,u,b,11852676
x,t,b,11805533
k,a,m,11803177
n,i,h,11792878
m,u,g,11747468
y,d,n,11722222
l,y,w,11700066
v,o,m,11690009
r,u,f,11679356
z,e,t,11649466
u,x,i,11645879
h,u,e,11624331
k,d,o,11617571
k,e,i,11613818
v,e,x,11591608
o,s,q,11579338
n,y,l,11559076
b,y,e,11555659
o,t,b,11541309
m,e,y,11537892
f,o,i,11537400
w,b,o,11531926
t,c,a,11527581
l,f,e,11511073
n,b,a,11500858
y,p,s,11472066
u,n,q,11448787
p,e,f,11448658
n,m,i,11428247
e,h,y,11420497
g,i,g,11414439
x,c,r,11391142
i,b,n,11380834
a,h,r,11378231
k,m,e,11368041
i,r,n,11366824
a,i,i,11313107
y,p,r,11303649
f,s,e,11292498
u,g,i,11281799
m,c,k,11257039
e,u,x,11220204
o,a,p,11209975
p,i,u,11182346
i,a,e,11179632
y,h,o,11136690
y,a,m,11113002
w,l,s,11110095
h,a,h,11107242
k,b,o,11105528
e,u,e,11099261
r,d,u,11094262
i,r,v,11086473
m,y,r,11067828
l,d,a,11058741
b,m,a,11056128
e,w,c,11044420
u,c,u,11030821
o,g,m,11019440
l,i,x,11009681
n,d,t,11005686
a,u,e,11005581
m,o,a,10995518
e,u,k,10986184
s,y,d,10980084
c,c,h,10950999
r,e,z,10935861
y,o,s,10903848
a,k,d,10851794
i,h,i,10848445
t,g,o,10847142
i,a,p,10833871
k,e,m,10821048
s,d,e,10808275
l,i,r,10800478
l,e,h,10792977
g,s,i,10792767
n,m,o,10779983
k,a,i,10775456
c,g,r,10746382
l,t,d,10724526
t,a,w,10720386
y,o,g,10667167
i,v,y,10660540
p,e,w,10657274
t,h,h,10622622
l,y,o,10602891
y,r,u,10566233
f,a,y,10544353
y,a,t,10534504
c,e,y,10528790
r,e,x,10521290
u,g,m,10511878
d,s,w,10504930
h,q,u,10501517
b,o,e,10493314
k,l,o,10487452
p,o,x,10480893
d,s,m,10479706
m,t,h,10471729
o,y,o,10439778
x,e,n,10424539
h,o,k,10412113
u,c,y,10398991
x,t,o,10393055
p,m,a,10384414
b,u,e,10382133
e,n,k,10379846
k,u,r,10359492
s,r,i,10319091
l,f,t,10316473
w,s,h,10311367
t,h,q,10298133
d,a,k,10297750
r,m,t,10279341
s,o,s,10270962
f,e,g,10266857
t,o,f,10265396
n,o,f,10254972
x,i,x,10225579
t,o,a,10201704
i,k,h,10184417
n,y,s,10153548
t,s,b,10146542
z,z,a,10119346
u,e,z,10117204
t,s,h,10115938
b,o,g,10104964
t,f,i,10094664
c,o,x,10092019
e,v,y,10062040
k,o,t,10061929
j,a,b,10055768
l,p,o,10049939
w,o,k,10047320
a,i,w,10039227
y,n,n,10027892
u,o,d,10018884
a,c,s,10001024
c,t,n,9979945
f,o,w,9971856
h,c,o,9940973
t,m,i,9940779
n,b,r,9938567
z,i,g,9919082
d,u,g,9918814
n,e,h,9911873
k,s,t,9910133
a,w,b,9909763
u,v,r,9908283
p,t,c,9881337
u,t,f,9868811
n,a,f,9864291
r,k,p,9855288
i,o,a,9850832
n,t,g,9841597
y,u,g,9832205
n,i,k,9827060
n,z,o,9810194
f,o,g,9809539
e,c,s,9808346
s,b,i,9801085
j,a,y,9762355
e,w,b,9742852
m,c,d,9734855
r,d,r,9732845
g,g,y,9719770
b,y,s,9708470
f,s,p,9698284
r,s,d,9692103
e,d,f,9690915
a,f,i,9663447
k,n,a,9662239
s,s,w,9654756
y,f,u,9635916
a,f,l,9631840
l,b,s,9628105
h,y,a,9608675
k,e,a,9584587
z,z,i,9577774
c,y,n,9576527
i,e,m,9547599
b,i,v,9546329
w,s,o,9497165
x,o,r,9494898
u,p,u,9494749
u,a,y,9484505
i,a,z,9458198
x,t,a,9442392
s,a,h,9424817
a,k,h,9393673
c,y,p,9386071
w,e,g,9366083
x,o,t,9359948
o,b,r,9357343
f,g,h,9356740
a,f,g,9356740
w,f,o,9349771
y,g,i,9344802
c,t,f,9343925
h,y,g,9332712
v,o,s,9319292
l,l,f,9316367
t,c,y,9300921
a,d,g,9288534
y,l,u,9270228
r,a,x,9265499
l,t,z,9257128
s,g,o,9238923
z,e,l,9236205
k,u,n,9229705
l,k,y,9172638
d,b,e,9168928
z,a,m,9168704
l,o,e,9166235
t,s,k,9160880
a,n,b,9139035
b,a,h,9075574
a,b,h,9068890
b,b,r,9053547
a,l,n,9009040
w,k,w,9002445
j,o,l,8975376
d,j,e,8946524
a,i,a,8928609
a,e,d,8912927
m,c,l,8905667
o,h,y,8901035
d,p,a,8872766
y,i,s,8868453
r,e,k,8854381
c,e,u,8823215
z,e,i,8819853
s,t,c,8802688
j,a,k,8797282
x,a,b,8779770
n,c,k,8774532
y,n,g,8759391
s,v,i,8757403
z,i,m,8755769
d,u,i,8751636
s,b,n,8751199
m,o,z,8731082
w,o,v,8726886
t,y,a,8721983
l,o,l,8715240
c,k,m,8707396
a,c,d,8706588
o,y,l,8704892
b,v,e,8691555
f,o,a,8678276
y,n,i,8674662
z,o,p,8673294
y,p,a,8667549
x,y,l,8648087
d,s,i,8645193
w,l,a,8638240
a,k,l,8636753
a,y,r,8634974
p,e,i,8614552
c,k,u,8613411
l,a,l,8606770
i,g,l,8605054
d,m,u,8579598
w,m,e,8572440
e,w,n,8570301
d,a,z,8568231
n,v,u,8563970
h,n,a,8557285
s,i,k,8555525
t,s,u,8547593
n,s,g,8547544
x,e,l,8506418
c,o,k,8501795
w,n,t,8496517
k,a,p,8492174
d,e,z,8484843
l,h,e,8454126
e,t,b,8437217
k,o,l,8413083
h,e,q,8412233
o,e,b,8384912
n,o,z,8373626
e,y,m,8371653
u,t,g,8357146
a,s,q,8327101
o,e,u,8326205
o,f,u,8294392
t,p,a,8291476
m,f,u,8278526
w,r,y,8277592
b,n,e,8259067
r,y,e,8239289
u,x,e,8229868
l,u,f,8227510
r,s,b,8224209
m,u,h,8219733
p,e,k,8205486
o,w,b,8193522
f,f,m,8185701
l,y,d,8184216
y,z,i,8182227
f,r,y,8176508
r,t,c,8176286
r,g,l,8151712
l,y,e,8151228
i,x,a,8139989
a,y,w,8139763
u,k,r,8133696
m,a,e,8133499
r,t,w,8126494
a,y,f,8118894
g,y,n,8110345
k,w,o,8103448
e,w,m,8080805
n,g,m,8075905
w,s,e,8069011
i,j,a,8068729
a,s,g,8055177
x,q,u,8045753
e,x,q,8045753
e,u,l,8041222
k,f,o,8027539
y,z,a,8019422
t,n,o,8004313
o,s,b,7995442
s,t,f,7969408
i,c,c,7950558
r,m,f,7949080
a,h,l,7945895
y,s,m,7944249
k,o,v,7943766
m,l,i,7929039
n,t,w,7909557
w,e,y,7906833
j,a,z,7894910
t,s,a,7892539
l,l,b,7883544
z,l,i,7880326
y,o,c,7866759
h,w,i,7862301
g,a,e,7856305
u,t,n,7846249
o,m,l,7846244
u,a,m,7843272
u,b,v,7834042
n,u,d,7829995
c,k,p,7827045
r,k,h,7826775
i,m,l,7825065
i,e,b,7821473
u,e,u,7821435
z,e,m,7819242
u,m,f,7787643
h,h,o,7782023
t,g,e,7759698
t,k,i,7758165
i,r,b,7753862
r,o,q,7748994
h,i,k,7729319
f,n,e,7724479
d,y,l,7709716
w,u,n,7691207
p,n,o,7685745
d,g,a,7680231
e,r,j,7666352
i,r,f,7665768
l,u,p,7647471
i,m,n,7644062
k,p,l,7642502
u,v,a,7631673
z,z,y,7627595
v,a,e,7621580
o,t,n,7613540
o,u,e,7602388
h,n,n,7585217
h,w,o,7584809
a,s,b,7582418
m,w,e,7578175
y,s,f,7568092
h,r,y,7546125
l,y,g,7537106
l,k,l,7527886
i,l,n,7525308
l,d,b,7519520
s,s,p,7490799
g,d,a,7480989
k,o,u,7466678
s,p,y,7461368
b,y,z,7422585
k,r,o,7415793
g,i,z,7415397
e,l,r,7412250
s,h,w,7408534
n,c,s,7400433
o,l,g,7390491
u,e,a,7375394
e,z,u,7373146
i,o,e,7372506
l,h,a,7371931
m,i,f,7364602
o,a,g,7358731
e,y,b,7343368
i,s,q,7337968
h,s,i,7337928
y,a,s,7334157
n,g,w,7327595
z,a,l,7324482
b,b,s,7288501
i,s,n,7287711
u,e,o,7286223
o,y,f,7274058
h,e,x,7268548
g,d,p,7267305
a,a,l,7263628
k,y,l,7262388
c,h,f,7229487
x,h,o,7226205
i,n,r,7213607
e,i,b,7192140
a,t,k,7180400
y,p,n,7177207
s,n,u,7175967
n,v,y,7174633
k,a,u,7165195
e,y,l,7158042
s,g,i,7153191
x,l,e,7135526
t,b,e,7133516
l,d,n,7127724
y,e,b,7124226
l,n,u,7120655
y,o,k,7113076
n,s,d,7110325
k,e,f,7089654
o,w,y,7072219
e,i,j,7063529
y,c,a,7063445
p,i,v,7053771
e,i,f,7045587
w,d,s,7039918
a,p,m,7028892
l,a,f,7026243
e,r,z,7010565
u,q,u,7004447
t,f,a,6968092
j,u,t,6963724
i,e,e,6963165
c,o,y,6962454
c,y,a,6948847
o,k,o,6946437
k,h,e,6943064
y,d,i,6941457
m,s,s,6937265
e,w,d,6928861
s,w,u,6920155
t,z,s,6918405
k,e,v,6916226
a,h,n,6912415
e,e,e,6911166
g,e,i,6899960
c,k,t,6888628
l,y,l,6873489
c,h,d,6868032
t,b,u,6867385
r,u,z,6845119
a,n,j,6843044
a,b,c,6839108
k,w,e,6838601
c,y,r,6827085
e,v,u,6826632
y,m,i,6822643
a,u,v,6802638
i,u,r,6795011
z,s,c,6787617
o,s,w,6785825
p,u,g,6781429
c,e,b,6766936
l,l,p,6763392
a,u,p,6751501
n,s,b,6746273
p,u,f,6733579
a,u,k,6726884
r,c,k,6720601
f,t,a,6715690
e,s,n,6687566
s,y,p,6684151
n,u,b,6683022
a,n,p,6682726
o,d,h,6673034
i,h,a,6670573
a,l,z,6660429
j,e,e,6654279
w,c,o,6651387
l,b,r,6646103
c,s,t,6644934
o,m,w,6622764
p,g,r,6618166
a,e,t,6603804
a,e,c,6592951
a,i,z,6588199
i,b,m,6585985
d,o,b,6582985
a,k,t,6580578
f,s,h,6572003
z,u,e,6569530
b,o,c,6569143
w,b,a,6568399
y,n,x,6568006
f,t,o,6563141
t,t,g,6558603
r,n,h,6547312
y,a,c,6544143
